職缺名稱,職缺連結,公司名稱,地區,月薪,給薪方式
後端工程師,https://www.cakeresume.com/companies/104-company-1a2x6bkyst/jobs/backend-engineer-796571,恆為科技有限公司,33K ~ 70K TWD / month,month,
後端工程師 Backend Engineer ,https://www.cakeresume.com/companies/sellerlinx/jobs/backend-engineer-cbf63d,SELLERLINX 樂邁利達股份有限公司,48K ~ 70K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/everydayhealth/jobs/back-end-engineer-fdb9a2,早安健康股份有限公司,50K ~ 80K TWD / month,month,
前端工程師,https://www.cakeresume.com/companies/giantleap/jobs/front-end-engineer-61f611,巨跡資訊股份有限公司,38K ~ 38K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/giantleap/jobs/backend-engineer-e83ad8,巨跡資訊股份有限公司,40K ~ 40K TWD / month,month,
"前端網頁工程師（Front-End Engineer, F2E）",https://www.cakeresume.com/companies/waffle-city-d036b6/jobs/front-end-engineer-f2e-a56d7b,吾微而智股份有限公司,38K ~ 48K TWD / month,month,
前端設計工程師,https://www.cakeresume.com/companies/forestwebs/jobs/2abcbf,森德網站設計有限公司,28K ~ 40K TWD / month,month,
Flutter 工程師│Flutter App Developer,https://www.cakeresume.com/companies/jackercleaning/jobs/flutter-engineer-flutter-app-developer,潔客幫 JackerCleaning,42K ~ 60K TWD / month,month,
[AICS] Software Engineer - Backend 後端軟體工程師,https://www.cakeresume.com/companies/asus/jobs/software-engineer-backend-f69a44,Asus 華碩電腦股份有限公司,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
後端軟體工程師,https://www.cakeresume.com/companies/farm-direct/jobs/backend-software-engineer-b073d0,壹菜園股份有限公司,35K ~ 45K TWD / month,month,
💅🏻30年知名品牌端美妝保養電商網站💻補班日不上班 - PHP後端開發工程師(Mid) - CL,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/fc7965,CakeResume Headhunting Recruitment Service,700K ~ 1M TWD / year,year,
後端資深工程師 (Ruten露天拍賣－技術處),https://www.cakeresume.com/companies/pchome-online/jobs/736478,PChome Online 網路家庭,40K ~ 60K TWD / month,month,
後端 Python Django 工程師,https://www.cakeresume.com/companies/appar/jobs/python-django-backend-engineer,Appar約沛科技有限公司,40K ~ 76K TWD / month,month,
後端開發工程師,https://www.cakeresume.com/companies/bilab-asia/jobs/back-end-development-engineer,怪點子有限公司,40K ~ 55K TWD / month,month,
後端 / MIS工程師,https://www.cakeresume.com/companies/omninsight/jobs/backend-mis-engineer,詮識數位股份有限公司,55K ~ 70K TWD / month,month,
後端/PHP工程師【歡迎應屆畢業生】,https://www.cakeresume.com/companies/gamesofa/jobs/programmer-e7f647,慧邦科技股份有限公司,40K ~ 60K TWD / month,month,
後端開發工程師,https://www.cakeresume.com/companies/vanko_/jobs/back-end-development-engineer-f1bad1, VANKO_豪弓實業有限公司,40K ~ 50K TWD / month,month,
(SaaS) 後端開發工程師,https://www.cakeresume.com/companies/femashr/jobs/saas-back-end-development-engineer,鋒形科技有限公司,40K ~ 70K TWD / month,month,
PHP 後端開發工程師,https://www.cakeresume.com/companies/initrisetech/jobs/php-back-end-development-engineer,創昇資訊有限公司,50K ~ 70K TWD / month,month,
後端系統工程師,https://www.cakeresume.com/companies/championtek/jobs/backend-system-engineer,澄品科技有限公司,50K ~ 60K TWD / month,month,
資深遊戲服務端/後端系統工程師,https://www.cakeresume.com/companies/fc6a27/jobs/senior-game-server-backend-system-engineer-b2c7dc,代碼科技有限公司,60K ~ 150K TWD / month,month,
React Native 前端工程師,https://www.cakeresume.com/companies/pro-104-vip-cust-master-affe9c/jobs/react-native-frontend-engineer,歐彼國際有限公司,50K ~ 80K TWD / month,month,
後端暨區塊鏈工程師 (Jr. Golang Backend & Blockchain Engineer),https://www.cakeresume.com/companies/emptysea/jobs/jr-golang-backend-amp-blockchain-engineer,畢竟科技股份有限公司,700K ~ 1M TWD / year,year,
Backend Software Developer (後端軟體開發工程師),https://www.cakeresume.com/companies/akohub/jobs/software-developer-engineer,Akohub,900K ~ 1.6M TWD / year,year,
全端軟體工程師 (FullStack - Backend + Frontend開發),https://www.cakeresume.com/companies/miraclemobile-workflow/jobs/b99455,奇蹟行動科技有限公司,40K ~ 80K TWD / month,month,
資深PHP軟體工程師Senior Backend Engineer-Magento (電商平台),https://www.cakeresume.com/companies/tvbs/jobs/3d6dae,TVBS聯利媒體股份有限公司,55K ~ 100K TWD / month,month,
"資深PHP網站工程師Sr. Backend Engineer-CodeIgniter, Laravel",https://www.cakeresume.com/companies/tvbs/jobs/senior-php-web-development-engineer,TVBS聯利媒體股份有限公司,55K ~ 100K TWD / month,month,
前端工程師 ∣ React,https://www.cakeresume.com/companies/st-win/jobs/front-end-engineer-spd-department,聖勝科技有限公司,520K ~ 1.3M TWD / year,year,
Java軟體工程師,https://www.cakeresume.com/companies/st-win/jobs/java-software-engineer-5fc55b,聖勝科技有限公司,520K ~ 910K TWD / year,year,
Full-Stack Developer (Node.js) 全端工程師,https://www.cakeresume.com/companies/maijoe/jobs/full-stack-developer-node-js-full-stack-engineer,Maijoe Tech 麥喬資訊,700K ~ 1.2M TWD / year,year,
【資訊板塊】全端開發工程師,https://www.cakeresume.com/companies/cathay-united-bank/jobs/information-full-end-development-engineer,Cathay United Bank 國泰世華商業銀行,43K ~ 88K TWD / month,month,
DevOps 工程師,https://www.cakeresume.com/companies/google-4ed106/jobs/devops-engineer-5adde7,雲訊科技有限公司,70K ~ 120K TWD / month,month,
資料工程師 (BI分析),https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/data-engineer-bi-analysis,雄獅集團＿雄獅資訊科技,35K ~ 60K TWD / month,month,
【跨境電商物流系統】Front End Engineer 前端工程師 (Angular開發經驗尤佳),https://www.cakeresume.com/companies/returnhelper/jobs/jr-front-end-engineer-f33668,香港商線上科技銷售服務有限公司台灣分公司,650K ~ 1M TWD / year,year,
"Full Stack Developer | 全端工程師(JavaScript, jQuery, C#, .NET Core)",https://www.cakeresume.com/companies/lollipop-camera/jobs/7cb499,Masterwork Aoitek 鴻華國際科技股份有限公司,560K ~ 770K TWD / year,year,
Android App開發工程師(研發處 產品部),https://www.cakeresume.com/companies/55688/jobs/ac54c5,55688集團_台灣智慧生活網股份有限公司,50K ~ 90K TWD / month,month,
iOS App開發工程師(研發處 產品部),https://www.cakeresume.com/companies/55688/jobs/7b78e8,55688集團_台灣智慧生活網股份有限公司,50K ~ 90K TWD / month,month,
軟體工程師,https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/software-engineer-49c3ee,雄獅集團＿雄獅資訊科技,40K ~ 60K TWD / month,month,
全端網頁工程師Full Stack Web Developer,https://www.cakeresume.com/companies/cool-ntu-edu/jobs/full-stack-web-developer-180309,臺大數位學習中心教學科技組,54K ~ 80K TWD / month,month,
Junior / Senior 前端工程師,https://www.cakeresume.com/companies/www.stackcore.com/jobs/junior-senior-front-end-engineer,新騎資訊有限公司,40K ~ 100K TWD / month,month,
網頁前端工程師 Junior Frontend Engineer,https://www.cakeresume.com/companies/younger/jobs/web-front-end-engineer-e3184f,楊格健康股份有限公司,36K ~ 45K TWD / month,month,
軟體設計工程師,https://www.cakeresume.com/companies/ibuypower/jobs/software-design-engineer-b8b9f8,美商艾必威科技有限公司台灣辦事處,600K ~ 1M TWD / year,year,
JR100344 Java工程師 (通路系統),https://www.cakeresume.com/companies/chinalife-wps-portal-chinalife/jobs/jr100344-java-engineer-path-system,中國人壽保險股份有限公司(總公司),40K+ TWD / month,month,
軟體工程師 Junior/ Senior Software Engineer (數據產品),https://www.cakeresume.com/companies/lndata-inc/jobs/data-engineer-cb1dfa,LnData Inc.,700K ~ 1M TWD / year,year,
前端實習工程師,https://www.cakeresume.com/companies/cacdi/jobs/front-end-trainee-engineer-8f4257,綠擊掌數位有限公司,180 ~ 200 TWD / hour,hour,
應用工程師 Solutions Engineer,https://www.cakeresume.com/companies/ematic-solutions/jobs/junior-solutions-engineer,Ematic Solutions  Inc.,480K ~ 840K TWD / year,year,
I3111 friDay 影音全端工程師,https://www.cakeresume.com/companies/fetnet-net-home-551e88/jobs/i3111-friday-av-full-end-engineer,遠傳電信股份有限公司,40K ~ 60K TWD / month,month,
軟體工程師 (C#),https://www.cakeresume.com/companies/u-ark/jobs/back-end-engineer-dabd03,諾亞克科技股份有限公司,40K ~ 55K TWD / month,month,
前端軟體研發工程師(Flutter),https://www.cakeresume.com/companies/lips-hci/jobs/software-r-amp-d-engineer-8a14cd,立普思股份有限公司,600K ~ 1M TWD / year,year,
SAP ERP 工程師(FI \ CO),https://www.cakeresume.com/companies/web-elifemall/jobs/sap-erp-engineer-fi-co,全國電子股份有限公司,40K ~ 55K TWD / month,month,
維護工程師 (C#.Net),https://www.cakeresume.com/companies/focustech/jobs/maintenance-engineer-c-net,專注科技系統有限公司,40K ~ 50K TWD / month,month,
資深前端工程師/前端工程師,https://www.cakeresume.com/companies/nshr-nanshanlife/jobs/front-end-engineer-c28dcd,南山人壽保險股份有限公司,600K ~ 1.2M TWD / year,year,
(VIVE Originals)Backend Engineer-J02012,https://www.cakeresume.com/companies/htc/jobs/vive-originals-backend-engineer-j02012,HTC 宏達國際電子股份有限公司,600K ~ 1.3M TWD / year,year,
軟體開發工程師/網頁軟體工程師_12320,https://www.cakeresume.com/companies/_Pegatron/jobs/c01df8,和碩集團_和碩聯合科技股份有限公司,32K ~ 62K TWD / month,month,
Android開發工程師 Android Engineer,https://www.cakeresume.com/companies/omnieyes/jobs/android-development-engineerandroid-engineer,動見科技 OmniEyes,950K ~ 1.5M TWD / year,year,
【Architect】全端研發工程師,https://www.cakeresume.com/companies/teamt5-org-tw/jobs/architect-full-end-r-amp-d-engineer,杜浦數位安全股份有限公司,800K ~ 1M TWD / year,year,
"產品工程師 / Product Engineer (年薪650,000起~)",https://www.cakeresume.com/companies/zksoft/jobs/dec601,資康科技有限公司,50K ~ 70K TWD / month,month,
【資訊專才】雲端軟體開發工程師,https://www.cakeresume.com/companies/101bc3/jobs/2914c0,國泰人壽保險股份有限公司,40K ~ 70K TWD / month,month,
【資訊專才】API 開發工程師,https://www.cakeresume.com/companies/101bc3/jobs/information-professional-api-development-engineer,國泰人壽保險股份有限公司,40K ~ 70K TWD / month,month,
5G MEC軟體開發工程師/技術課長_12286,https://www.cakeresume.com/companies/_Pegatron/jobs/543d45,和碩集團_和碩聯合科技股份有限公司,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
5G 雲端服務全端資深工程師/工程師_12224,https://www.cakeresume.com/companies/_Pegatron/jobs/a99a25,和碩集團_和碩聯合科技股份有限公司,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
軟體工程師,https://www.cakeresume.com/companies/nuwainfo-zh/jobs/software-engineer-053651,女媧資訊股份有限公司,40K ~ 65K TWD / month,month,
【RD】軟體前端工程師 (Frontend Developer),https://www.cakeresume.com/companies/clinico-f9741d/jobs/rd-frontend-developer,科林儀器股份有限公司,45K ~ 60K TWD / month,month,
前端web工程師,https://www.cakeresume.com/companies/cleflex/jobs/front-end-web-engineer-0aada8,澄映科技有限公司,900K ~ 1.6M TWD / year,year,
Web Backend Engineer <ERP> (技術部),https://www.cakeresume.com/companies/pchome-online/jobs/web-backend-engineer-erp-technical-department,PChome Online 網路家庭,50K ~ 80K TWD / month,month,
Web前端工程師,https://www.cakeresume.com/companies/octon-net/jobs/web-front-end-engineer-e35b21,翱騰國際科技股份有限公司,32K ~ 60K TWD / month,month,
全端工程師暨講師,https://www.cakeresume.com/companies/instagram-crypto_edu_org-igshid-ntc4mtiwnjq2yq/jobs/full-stack-engineer-08fb99,首席元宇宙有限公司,45K ~ 65K TWD / month,month,
軟體測試工程師,https://www.cakeresume.com/companies/octon-net/jobs/software-test-engineer-726dfc,翱騰國際科技股份有限公司,30K ~ 55K TWD / month,month,
Android軟體開發工程師 / Android Engineer (Java / Kotlin),https://www.cakeresume.com/companies/91app/jobs/98d78e,91APP,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
Java Full Ended Engineer(全端工程師),https://www.cakeresume.com/companies/octon-net/jobs/java-full-ended-engineer,翱騰國際科技股份有限公司,40K ~ 100K TWD / month,month,
軟體開發工程師,https://www.cakeresume.com/companies/wistron/jobs/software-development-engineer-5a31f9,緯創資通股份有限公司,40K ~ 70K TWD / month,month,
LINE TV iOS工程師／資深iOS工程師,https://www.cakeresume.com/companies/LINETV-JOBS/jobs/ios-e772de,LINE TV_巧克科技新媒體股份有限公司,50K ~ 100K TWD / month,month,
Java工程師,https://www.cakeresume.com/companies/lustertech/jobs/069a8f,達暉資訊,40K ~ 60K TWD / month,month,
AI軟體應用工程師,https://www.cakeresume.com/companies/hitrust/jobs/ai-software-application-engineer,網際威信股份有限公司,40K+ TWD / month,month,
